Title,Cost,Author,Description,Skill
"16 Accords of Madness, v. VI",25,,Hircine's Tale,0
"16 Accords of Madness, v. IX",25,,Vaermina's Tale,0
"16 Accords of Madness, v. XII",25,,Malacath's Tale,0
"2920, Morning Star, v1",50,Carlovac Townway,Volume 1 of a historical series about Vivec and the Empire,1
"2920, Sun's Dawn, v2",60,Carlovac Townway,Volume 2 of a historical series about Vivec and the Empire,1
"2920, First Seed, v3",11,Carlovac Townway,Volume 3 of a historical series about Vivec and the Empire,0
"2920, Rain's Hand, v4",55,Carlovac Townway,Volume 4 of a historical series about Vivec and the Empire,1
"2920, Second Seed, v5",60,Carlovac Townway,Volume 5 of a historical series about Vivec and the Empire,1
"2920, MidYear, v6",70,Carlovac Townway,Volume 6 of a historical series about Vivec and the Empire,1
"2920, Sun's Height, v7",3,Carlovac Townway,Volume 7 of a historical series about Vivec and the Empire,0
"2920, Last Seed, v8",75,Carlovac Townway,Volume 8 of a historical series about Vivec and the Empire,1
"2920, Hearth Fire, v9",50,Carlovac Townway,Volume 9 of a historical series about Vivec and the Empire,1
"2920, Frostfall, v10",50,Carlovac Townway,Volume 10 of a historical series about Vivec and the Empire,1
"2920, Sun's Dusk, v11",11,Carlovac Townway,Volume 11 of a historical series about Vivec and the Empire,0
"2920, Evening Star, v12",11,Carlovac Townway,Volume 12 of a historical series about Vivec and the Empire,0
An Accounting of the Scrolls,20,"Quintus Nerevelus, Former Imperial Librarian",An author's report on the Elder Scrolls and his subsequent entry into the Cult of the Ancestor Moth,0
The Adabal-a,25,Morihaus,"The memoirs of Morihaus, consort to Alessia and Taker of the Citadel",0
Admonition Against Ebony,5,,A warning to any who might claim the Ebony Blade,0
Adonato's Book,40,Adonato Leonetti,A historian's view about Olaf One-Eye and his conflict with the dragon Numinex,0
Advances in Lockpicking,75,,An experienced thief summarizes the intricacies of lockpicking,1
Adventurer's Journal,5,,About investigating attacks on caravans by the Falmer,0
Aedra and Daedra,5,,"Overview of the basic differences between Gods, Demons, Aedra, and Daedra",0
The Aetherium Wars,15,Taron Dreth,A treatise on the collapse of Dwemer city-states in Skyrim,0
Aevar Stone-Singer,60,,Traditional Skaal myth about a young Skaal's journey to recover the Gifts of the All-Maker,1
Agrius's Journal,5,Agrius,The last accounts of a bandit before being possessed and sacrificed by Halldir,0
Ahzidal's Descent,16,Halund Greycloak,The tale of a powerful enchanter's descent into madness,0
Ahzirr Traajijazeri,4,Anonymous,The public manifesto of the Khajiit organization Renrijra Krin,0
Aicantar's Lab Journal,5,Aicantar,Research notes on Dwarven spider control,0
Alchemist's Journal,5,,The journal of an alchemist interested in plant growth and ecology,0
Alchemist's Journal,5,,The idyllic journal of an alchemist,0
Alduin is Real,8,Thromgar Iron-Head,"A poorly spelled essay from a ""prowd Nord"" on the difference between Alduin and Akatosh",0
The Alduin/Akatosh Dichotomy,8,"Alexandre Simon, High Priest of the Akatosh Chantry, Wayrest",A priest's deductions on the relation between Akatosh and Alduin,0
Alva's Journal,5,Alva,A vampire's plot to take over all of Morthal,0
Amongst the Draugr,14,"Bernadette Bantien, College of Winterhold",Discoveries about the draugr and their link to the dragon cults,0
The Amulet of Kings,6,Wenengrus Monhona,Chronicles the creation of the Amulet of Kings,0
Ancestors and the Dunmer,8,,An outdated guide for foreign visitors to Morrowind,0
Annals of the Dragonguard,200,Brother Annulus,Chronicles of the Dragonguard in the late First Era,0
Antecedants of Dwemer Law,5,,A historical account of the development of Dwemer law and custom from its roots in High Elven culture,0
The Anticipations,14,Anonymous,Overview of the members of and the relationship between the Tribunal and the Daedra,0
The Apprentice's Assistant,12,Aramril,Advice from Valenwood's most prestigious spellcaster,0
Arcana Restored,25,"Wapna Neustra
Praceptor [sic] Emeritus",Cryptic instructions for the restoration of Arcana,0
The Arcturian Heresy,6,"The Underking, Ysmir Kingmaker","A brief, undated, early historical document covering the Underking and Tiber Septim",0
"Argonian Account, Book 1",2,Waughin Jarth,"Decumus Scotti's continued adventures in Black Marsh, Volume 1",0
"Argonian Account, Book 2",12,Waughin Jarth,"Decumus Scotti's continued adventures in Black Marsh, Volume 2",0
"Argonian Account, Book 3",12,Waughin Jarth,"Decumus Scotti's continued adventures in Black Marsh, Volume 3",0
"Argonian Account, Book 4",12,Waughin Jarth,"Decumus Scotti's continued adventures in Black Marsh, Volume 4",0
The Armorer's Challenge,70,Mymophonus,A competition between two skilled armorsmiths,1
"Arondil's Journal, Part 1",5,Arondil,Arondil's account of moving into Yngvild to study necromancy,0
"Arondil's Journal, Part 2",5,Arondil,Arondil's account of his necromancy experimentations,0
"Arondil's Journal, Part 3",5,Arondil,Arondil's account of dealing with a trespasser into Yngvild,0
"Arondil's Journal, Part 4",5,Arondil,Arondil's account of learning to reanimate the dead as ghosts,0
The Art of War Magic,55,"Zurin Arctus, with Commentary By Other Learned Masters",Mastering the art of winning,1
Arvel's Journal,5,Arvel the Swift,A journal describing how Arvel came into possession of the Golden Claw and a hint of its true purpose,0
Atlas of Dragons,50,Brother Mathnan,A glossary of Skyrim's dragons,0
Atronach Forge Manual,5,,A guide on how to use the Atronach Forge,0
The Axe Man,6,,A surprising way to become proficient with an axe,0
Azura and the Box,10,Marobar Sul,Book 11 of a series of fictional stories about the Dwemer,0
Bandit Leader's Journal,5,,Journal entries indicating the location of a hidden stash,0
Bandit's Journal,5,,A Bandit's account of taking over Fort Neugrad,0
Bandit's Journal,5,,A bandit's complaints about their inability to kill a mammoth,0
Battle of Red Mountain,50,Vivec,The story of the Battle of Red Mountain and the Nerevarine Prophecies from Vivec's perspective,1
Battle of Sancre Tor,50,,The story of how General Talos defeated the stronghold of Sancre Tor,1
The Bear of Markarth,8,"Arrianus Arius, Imperial Scholar",An account of Ulfric Stormcloak's short-lived independent reign over the Reach,0
Before the Ages of Man,60,Aicantar of Shimerene,Chronicles the major events of the Dawn and Merethic Eras,1
Beggar,60,Reven,The first chapter in the adventures of Eslaf Erol,1
Beggar Prince,5,,The story of Wheedle and their gifts from the Daedric Lord Namira,0
The Beginner's Guide to Homesteading,10,,A guide to building and furnishing a house on your purchased plot of land,0
The Betrayed,20,Engwe Emeloth,A poem surrounding the tragic fall of the Snow Elves,0
"Biography of Barenziah, v1",3,"Stern Gamboge, Imperial Scribe","A factual biography of Queen Barenziah, Volume 1",0
"Biography of Barenziah, v2",3,"Stern Gamboge, Imperial Scribe","A factual biography of Queen Barenziah, Volume 2",0
"Biography of Barenziah, v3",3,"Stern Gamboge, Imperial Scribe","A factual biography of Queen Barenziah, Volume 3",0
Biography of the Wolf Queen,60,Katar Eriphanes,"A history of the unambiguously evil Queen Potema, the so-called Wolf Queen of Solitude",1
"The Black Arrow, v1",2,Gorgic Guine,"A story of revenge, and a true master archer",0
"The Black Arrow, v2",65,Gorgic Guine,"Volume two of a story of revenge, and a true master archer",1
The Black Arts On Trial,60,"Hannibal Traven, Archmagister of the Mages Guild",A summary of the debate which led to the Mages Guild resolution on Necromancy,1
Black Book: Epistolary Acumen,2000,The Transparent One,A part of a series of Black Books,0
Black Book: Filament and Filigree,2000,Jelketheris,A mysterious fragment of a blacksmith's story.,0
Black Book: The Hidden Twilight,2000,Carillius Melfus,A part of a series of Black Books,0
Black Book: The Sallow Regent,2000,Hawfip the Crafter,A part of a series of Black Books,0
Black Book: Untold Legends,2000,,A part of a series of Black Books,0
Black Book: Waking Dreams,2000,Bilius Felcrex,A part of a series of Black Books,0
Black Book: The Winds of Change,2000,Liesl Grey-Heart,A part of a series of Black Books,0
Boethiah's Glory,25,,Worship book for Boethiah,0
Boethiah's Proving,25,Anonymous,An account of a fatal summoning of Boethiah,0
"Bone, Part I",6,Tavi Dromio,Part one of the invention of bonemold armor,0
"Bone, Part II",6,Tavi Dromio,Part two of the invention of bonemold armor,0
The Book of Daedra,5,,Excerpts from a lengthy tome describing the nature of each of the Daedra,0
The Book of Fate,40,,A blank book said to contain the reader's fate,0
The Book of the Dragonborn,12,Prior Emelene Madrine,A treatise on the Dragonborn,0
The Book of Life and Service,35,,Book relating to the undead of the Soul Cairn,0
